id,sentence,flesch_reading_ease,polysyllable_count,coleman_liau_index,freqlemfilms2_mean,freqlemfilms2_median,freqlemfilms2_max,freqlemfilms2_min,freqlemfilms2_25%,freqlemfilms2_75%,freqlemlivres_mean,freqlemlivres_median,freqlemlivres_max,freqlemlivres_min,freqlemlivres_25%,freqlemlivres_75%,freqfilms2_mean,freqfilms2_median,freqfilms2_max,freqfilms2_min,freqfilms2_25%,freqfilms2_75%,nblettres_mean,nblettres_median,nblettres_max,nblettres_min,nblettres_25%,nblettres_75%,nbsyll_mean,nbsyll_median,nbsyll_max,nbsyll_min,nbsyll_25%,nbsyll_75%
24,"Quand l'ange apparaît la deuxième fois, que conseille-t-il au pêcheur ?",93.81,1,13.72,3247.8874999999994,488.755,14946.48,10.34,40.8625,3828.5375,4251.1825,649.63,23633.92,3.92,33.055,3817.5874999999996,3178.9841666666666,488.755,14946.48,5.08,26.5625,3432.5975,4.333333333333333,3.5,9.0,1.0,2.0,7.25,1.4166666666666667,1.0,3.0,1.0,1.0,2.0
25,"L'homme fait regarder son sexe comme un symbole de transcendance et de puissance il en tire vanitécomme d'un muscle strié et en même temps comme d'une grâce magique : c'est une liberté riche de toute la contingence du donné, un donné librement voulu ; c'est sous cet aspect contradictoire qu'il s'en enchante ; mais il en soupçonne le leurre ; cet organe par lequel il prétend s'affirmer ne lui obéit pas ; lourd de désirs inassouvis, s'érigeant inopinément, parfois se soulageant en rêve, il manifeste une vitalité suspecte et capricieuse.",2.97,15,13.37,4438.631071428572,365.315,25220.86,0.03,21.945,5689.68,5768.7152380952375,440.37,38928.92,0.61,18.395000000000003,8732.57,4126.403333333334,144.67000000000002,25220.86,0.01,10.0825,5689.68,4.583333333333333,4.0,14.0,1.0,2.0,6.0,1.5595238095238095,1.0,5.0,1.0,1.0,2.0
26,Ils aiment passer des journées ensemble au bord de la mer,100.16,0,6.3,5163.754545454546,1655.07,25220.86,79.9,214.18,4896.73,7644.620000000001,1165.27,38928.92,145.07,242.84,7973.715,4897.233636363636,345.68,25220.86,9.54,88.275,4896.73,4.2727272727272725,3.0,8.0,2.0,2.5,6.0,1.2727272727272727,1.0,2.0,1.0,1.0,1.5
27,Il est 17h,130.36,0,-10.09,22729.715,22729.715,32236.5,13222.93,17976.322500000002,27483.1075,15458.779999999999,15458.779999999999,15832.09,15085.47,15272.125,15645.435,16320.31,16320.31,19417.69,13222.93,14771.619999999999,17869.0,2.5,2.5,3.0,2.0,2.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0
28,Vous sortîtes précipitamment après que vous eûtes mis votre chapeau,79.09,1,14.88,5377.937777777778,1894.09,13589.7,0.99,593.92,13572.4,2132.0133333333333,1083.72,6426.49,10.14,427.91,3507.16,3697.3855555555556,593.92,13589.7,0.01,48.61,3330.88,5.555555555555555,5.0,14.0,3.0,4.0,5.0,1.6666666666666667,1.0,5.0,1.0,1.0,2.0
29,Tu retireras ton chapeau en feutre et tes gants en cuire et tu t'assiéras en silence.,87.72,2,7.07,4684.0599999999995,1206.78,14661.76,1.45,48.9225,7494.530000000001,4629.629375,318.005,20879.73,5.07,75.0325,8732.57,4677.195,1206.78,14661.76,0.14,27.002499999999998,7494.530000000001,3.75,2.5,9.0,1.0,2.0,5.25,1.3125,1.0,4.0,1.0,1.0,1.0
30,Je suis tout à fait d'accord.,112.59,0,0.45,8365.156666666666,5452.01,25983.2,54.68,1316.615,11346.17,6332.015,3484.09,19209.05,2.97,1121.6375,9479.325,7309.724999999999,2285.715,25983.2,54.68,1248.8400000000001,9830.7975,2.6666666666666665,3.0,4.0,1.0,1.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Un orphelin : un orphelin est un enfant qui a perdu un de ses deux parents ou ses deux parents.,84.68,2,5.28,7193.3915789473685,1009.01,32236.5,7.55,640.835,12087.62,7479.603157894738,3105.41,38928.92,9.53,551.52,13550.68,5824.416842105262,1009.01,25220.86,1.55,252.245,12087.62,3.8947368421052633,3.0,8.0,1.0,2.0,5.5,1.4210526315789473,1.0,3.0,1.0,1.0,2.0
32,"Excusez-moi, je me suis perdu. Pouvez-vous m'aider ?",52.7,2,12.36,6312.023333333334,3675.68,25983.2,69.91,546.08,5524.47,2730.5166666666664,1877.57,10862.77,14.73,377.36,3507.16,5652.031111111111,1819.44,25983.2,69.91,230.25,4929.44,3.7777777777777777,4.0,7.0,1.0,2.0,5.0,1.4444444444444444,1.0,3.0,1.0,1.0,2.0
33,Mais le monde ne fonctionne pas toujours ainsi.,95.84,0,8.66,7682.6325,3125.705,22287.83,42.51,674.96,14786.6075,5967.585,2778.75,18310.95,24.39,673.3775,10056.8275,6563.05125,3125.705,18188.15,23.76,669.635,13430.962500000001,4.875,4.5,10.0,2.0,2.75,5.75,1.375,1.0,2.0,1.0,1.0,2.0
34,J'ai perdu la boîte dans laquelle j'avais mis mes bijoux.,93.81,0,7.34,2256.522,317.44500000000005,14946.48,20.64,65.4675,1077.88,3476.0340000000006,281.315,23633.92,2.91,49.27,1068.5675,2144.3889999999997,145.905,14946.48,20.64,64.97,883.815,3.8,3.5,8.0,1.0,2.25,5.0,1.3,1.0,2.0,1.0,1.0,1.75
35,Elle a décidé de s'y installer.,75.79,2,2.37,8102.906666666666,2364.145,25220.86,38.31,105.01,15049.5475,9852.028333333334,3602.8399999999997,38928.92,14.53,175.22,11348.48,6040.908333333333,2306.305,25220.86,22.76,51.7525,5893.315,3.8333333333333335,3.0,9.0,1.0,1.25,5.5,1.6666666666666667,1.0,3.0,1.0,1.0,2.5
36,"Le plasma ainsi conservé ne pourra être utilisé que lorsque le deuxième don du donneur, quatre mois après le premier, n'aura révélé aucun marqueur infectieux.",63.87,3,13.18,3501.8568000000005,182.44,22287.83,0.66,32.7,4394.7,3654.0244000000002,282.64,18310.95,0.34,43.51,3315.95,2585.0480000000002,146.12,13652.76,0.26,9.67,725.09,5.04,5.0,10.0,1.0,3.0,7.0,1.76,2.0,4.0,1.0,1.0,2.0
37,Les journalistes ont voulu savoir s'ils pouvaient le rencontrer.,65.39,2,15.74,6281.942222222223,5249.3,18559.22,35.29,241.04,8720.38,5812.328888888889,2003.58,18310.95,14.53,188.51,12800.81,2684.017777777778,151.04,13652.76,11.03,38.31,1063.32,5.666666666666667,5.0,12.0,1.0,3.0,9.0,1.7777777777777777,2.0,3.0,1.0,1.0,2.0
38,Tu aimes ma nouvelle robe ?,113.61,0,2.64,3787.862,1655.07,14661.76,84.43,191.15,2346.9,1064.096,795.61,2537.03,148.18,172.5,1667.16,3480.9080000000004,170.38,14661.76,72.72,152.78,2346.9,4.2,4.0,8.0,2.0,2.0,5.0,1.2,1.0,2.0,1.0,1.0,1.0
39,"Il vit à Paris avec ses parents et sa petite soeur Julie, âgée de 8 ans.",95.08,0,2.38,5413.909285714285,1191.545,25220.86,19.81,330.705,10172.6575,7904.874285714285,2753.585,38928.92,12.57,292.21,12874.17,5051.667857142857,737.925,25220.86,7.75,160.675,10069.0225,3.5,3.0,7.0,1.0,2.0,4.75,1.3571428571428572,1.0,2.0,1.0,1.0,2.0
40,"On ne peut pas tout faire pendant les heures de cours, ce qui me pose un problème, en vue de la journée scolaire.",95.34,0,5.23,7573.1465217391315,5516.52,25220.86,7.0,416.345,10450.55,8394.771304347825,4264.32,38928.92,14.12,429.595,11172.91,6694.316086956521,4929.44,25220.86,5.61,303.505,10404.0,3.8260869565217392,3.0,8.0,2.0,2.0,5.0,1.173913043478261,1.0,2.0,1.0,1.0,1.0
41,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche. Avec la chaleur estivale, cette journée d'exploration se révèle très fatigante !",68.18,5,14.38,2660.7747999999997,282.2,14946.48,0.53,32.7,4213.78,3743.9383999999995,395.27,23633.92,1.76,60.34,6587.77,2642.3848,165.35,14946.48,0.11,9.66,4213.78,5.2,5.0,11.0,1.0,3.0,7.0,1.64,1.0,3.0,1.0,1.0,2.0
42,"Cet homme fut grossier ! Quand je parlai, il m'interrompit.",84.67,1,7.33,8549.56777777778,1827.92,32236.5,11.64,499.91,13222.93,5142.22888888889,1398.85,15832.09,14.73,497.5,10862.77,4716.468888888889,499.91,25983.2,0.59,55.88,1827.92,3.888888888888889,3.0,8.0,1.0,2.0,5.0,1.2222222222222223,1.0,2.0,1.0,1.0,1.0
43,"En 2001, Rosalie a expliqué à l'ONU, auprès du groupe de travail sur les peuples autochtones, en quoi la survie des bisons sauvages est essentielle et symbolique pour les Indiens des plaines Le bison a toujours été un animal sacré pour les Indiens des plaines, crucial dans leur culture.",46.87,5,11.22,5903.7931914893625,1072.36,32236.5,0.84,23.665,8720.38,6798.381276595745,1093.78,38928.92,1.69,25.775,12800.81,4437.783829787235,1041.22,25220.86,0.72,9.825,6714.73,4.659574468085107,4.0,11.0,1.0,2.5,7.0,1.4893617021276595,1.0,3.0,1.0,1.0,2.0
44,"""Nous sommes avant tout des êtres visuels, rétiniens, et nous oublions souvent que l'audition et donc le son, l'acoustique jouent un rôle sur notre perception de l'environnement, remarque Christian Hugonnet, président de la Semaine du son, qui se tient du 21 janvier au 3 février 2019.",49.91,6,12.49,5038.4935,1399.535,32236.5,2.92,126.82749999999999,4958.22,6644.192999999999,2477.5699999999997,38928.92,3.24,116.16749999999999,7142.43,4174.70525,1040.79,25220.86,0.73,78.26,4772.12,4.125,3.5,10.0,1.0,2.0,6.0,1.35,1.0,3.0,1.0,1.0,1.25
45,"On peut voir entre autres le bréviaire manuscrit conservé à la bibliothèque du grand séminaire de Malines, ainsi que plusieurs incunables de Cambrai.",65.9,4,14.51,5434.542727272726,505.72,25220.86,0.0,20.5625,7820.9175,7380.2186363636365,1039.325,38928.92,0.47,44.34,6371.215,5064.401363636363,355.495,25220.86,0.0,7.4575,7538.474999999999,5.363636363636363,5.0,12.0,1.0,2.0,8.75,1.6818181818181819,1.0,4.0,1.0,1.0,2.0
46,Ils se laissèrent glisser par terre et partirent en trombe vers le salon.,98.13,0,8.63,3302.8061538461534,1334.1,13652.76,0.82,227.77,3075.07,4933.368461538462,956.15,20879.73,9.32,452.91,6587.77,3111.204615384615,276.29,13652.76,0.42,9.02,3075.07,4.615384615384615,4.0,10.0,2.0,2.0,6.0,1.3076923076923077,1.0,2.0,1.0,1.0,2.0
47,"Le comte, qui avait de l'usage, la pria de ne point divulguer la triste vérité dont elle lui faisait confidence : - Si vous avez l'extrême indulgence, ajouta-t-il, de continuer à me recevoir avec toutes les 16 distinctions extérieures accordées à l'amant régnant, je trouverai peut-être une place convenable.",41.54,9,13.94,6606.693265306123,2308.74,25983.2,2.46,78.26,12190.4,7444.6540816326515,2659.8,38928.92,1.96,67.84,12800.81,5181.789999999999,358.34,25983.2,0.28,30.95,8720.38,4.63265306122449,4.0,12.0,1.0,2.0,6.0,1.6122448979591837,1.0,3.0,1.0,1.0,2.0
48,Quelle est la date du mariage ?,112.59,0,2.37,8714.838333333333,2453.625,32236.5,31.41,253.67999999999998,12308.535,7661.733333333333,3563.275,23633.92,45.74,120.13749999999999,13034.6425,6576.1466666666665,2453.625,19417.69,26.88,247.0725,12308.535,4.0,3.5,7.0,2.0,2.25,5.5,1.1666666666666667,1.0,2.0,1.0,1.0,1.0
49,"Le soir en hiver, j'aime bien lire près de la cheminée et faire de la cuisine.",95.08,1,4.17,7925.435,4951.73,25220.86,11.39,122.5775,13976.19,11397.984375,3932.0649999999996,38928.92,2.91,247.91000000000003,21568.2775,7532.02,3474.87,25220.86,9.99,88.455,13976.19,3.5,3.0,8.0,1.0,2.0,4.25,1.25,1.0,3.0,1.0,1.0,1.0
50,"La validation de la segmentation et l'identification du nombre optimal de compartiments ont été fondées sur des analyses statistiques utilisant les densités de campagnols terrestres estimées dans chaque tache annuellement de 1989 à 2004 ; dans le cas d'une partition bien adaptée pour distinguer des zones de même dynamique démographique, ces données sont supposées présenter une variabilité plus faible à l'intérieur des compartiments qu'entre les compartiments.",1.19,21,18.52,5945.475967741936,214.365,32236.5,0.03,12.9375,8517.2475,7743.925483870967,176.25,38928.92,0.07,8.275,12256.84,4656.23741935484,162.275,25220.86,0.0,2.25,6055.71,5.483870967741935,4.0,13.0,1.0,2.25,8.75,1.8548387096774193,1.0,5.0,1.0,1.0,3.0
51,"Ici, c'est mon bureau.",107.26,0,0.0,1608.885,1289.17,3848.99,8.21,127.4,2770.6549999999997,736.5875,316.825,2307.97,4.73,113.73499999999999,939.6775,1606.2725,1283.945,3848.99,8.21,119.5625,2770.6549999999997,3.25,3.0,6.0,1.0,2.5,3.75,1.5,1.5,2.0,1.0,1.0,2.0
52,"Finalement, Halloween aura mis une vingtaine d'années pour s'imposer et trouver sa place dans la société française",57.27,4,14.85,3838.3770588235293,1004.83,14946.48,0.04,45.89,7078.55,4807.801764705882,972.5,23633.92,0.0,58.92,6426.49,2942.4641176470586,228.57,14946.48,0.04,45.89,4658.59,4.823529411764706,4.0,10.0,1.0,2.0,7.0,1.6470588235294117,1.0,4.0,1.0,1.0,2.0
53,J'aime bien faire la cuisine aussi de temps en temps.,108.53,0,5.6,6250.094,2808.055,25220.86,64.31,1031.05,8032.53,8323.649999999998,1947.5,38928.92,2.91,1289.39,7881.674999999999,5642.058,2069.145,25220.86,64.31,1031.05,5320.705,3.8,4.5,7.0,1.0,2.0,5.0,1.2,1.0,2.0,1.0,1.0,1.0
54,Et toi ?,131.37,0,-16.11,7714.29,7714.29,12909.08,2519.5,5116.895,10311.685,10665.035,10665.035,20879.73,450.34,5557.6875,15772.3825,7714.29,7714.29,12909.08,2519.5,5116.895,10311.685,2.5,2.5,3.0,2.0,2.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0
55,Cette évolution de la surcharge pondérale et de l'obésité est constatée dans toutes les grandes régions du globe.,70.97,3,12.7,7440.450555555556,2425.51,32236.5,0.05,14.975,11861.904999999999,9676.43388888889,2746.015,38928.92,0.0,23.97,14979.6775,6549.180555555556,1130.305,25220.86,0.05,4.345,11861.904999999999,4.833333333333333,4.5,9.0,1.0,2.0,7.0,1.5,1.0,4.0,1.0,1.0,1.75
56,"Loin de l'effervescence des cuisines, notre chef retrouve Maggie Chaulet, la créatrice et propriétaire du jardin tropical qui abrite son restaurant",60.57,4,16.94,3835.9573684210513,248.34,25220.86,2.8,55.125,4955.610000000001,6093.097894736842,416.22,38928.92,3.92,40.88,7402.7,3807.8247368421044,189.79,25220.86,1.0,37.03,4869.84,5.157894736842105,4.0,12.0,1.0,2.5,8.0,1.6842105263157894,1.0,4.0,1.0,1.0,2.0
57,Les plans de rigueur se succèdent dans de nombreux pays pour remédier aux déficits mais le revers de la médaille est que cela entraîne un mécontentement général et que les gens votent de plus en plus pour des partis nationalistes proposant la sortie de l'euro.,43.57,6,11.22,6734.952,4062.45,32236.5,1.45,50.68,8720.38,9142.941777777774,3315.95,38928.92,1.42,75.27,14662.3,6385.691777777778,3330.88,25220.86,0.01,28.0,8720.38,4.666666666666667,4.0,14.0,1.0,2.0,6.0,1.5555555555555556,1.0,5.0,1.0,1.0,2.0
58,"Dans un futur proche, la capacité de ces supports à transporter sous forme numérique des données d'un point à un autre va encore augmenter, entre autres grâce au développement des fibres optiques et des systèmes satellitaires.",52.7,6,13.41,4086.8371428571427,315.49,25220.86,1.73,26.53,6055.71,5840.193142857142,833.99,38928.92,0.41,28.65,10624.93,3888.936,315.49,25220.86,0.22,10.370000000000001,6055.71,4.914285714285715,5.0,13.0,1.0,2.0,6.5,1.542857142857143,1.0,5.0,1.0,1.0,2.0
59,Il souhaite faire fortune mais il n'en prend pas le chemin.,100.16,0,6.3,6767.926363636364,5179.05,18188.15,9.67,105.385,13222.93,6400.504545454546,4463.72,18310.95,11.08,156.79,12313.615,6052.467272727273,2735.96,18188.15,9.67,77.16,13222.93,4.090909090909091,4.0,8.0,1.0,2.0,5.5,1.1818181818181819,1.0,2.0,1.0,1.0,1.0
60,Aujourd'hui le greffe électronique est à la disposition des entrepreneurs.,49.65,4,17.78,8790.296666666667,6055.71,32236.5,4.25,6.7,13652.76,9657.83,10624.93,23633.92,2.16,5.41,18310.95,7364.954444444444,6055.71,19417.69,1.62,5.0,13652.76,5.888888888888889,3.0,13.0,1.0,2.0,11.0,2.0,1.0,4.0,1.0,1.0,4.0
61,Tu es en train de laver la vaisselle à la main ?,107.52,0,0.5,10975.772727272728,12190.4,32236.5,12.11,377.44,14946.48,12124.945454545457,8732.57,38928.92,25.95,759.02,21421.485,8189.259999999998,5689.68,25220.86,12.1,265.51,14804.119999999999,3.272727272727273,2.0,9.0,1.0,2.0,4.5,1.1818181818181819,1.0,2.0,1.0,1.0,1.0
62,"Les galopins du village s'en faisaient un jeu, et leurs ébats avaient même tracé sur la pente du monticule un imperceptible sentier.",74.27,3,11.2,4587.851818181819,575.625,18559.22,0.41,6.9125,8790.205,5737.407727272728,1122.6,23633.92,2.3,38.055,11321.1475,3344.6281818181815,122.195,14946.48,0.41,4.025,4394.7,4.818181818181818,4.5,13.0,1.0,2.0,7.0,1.5909090909090908,1.0,4.0,1.0,1.0,2.0
